Arcana,Lvl,Name,Inherits,St,Ma,En,Ag,Lu,Phys,Gun,Fire,Ice,Elec,Wind,Psi,Nuke,Bless,Curse,Region,Type
Chariot,3,Agathion,elec,3,4,5,7,3,,0.5,,,0.5,2,,,,,GR,HIST
Chariot,10,Slime,curse,9,6,11,6,5,0.5,0.5,2,,,2,,,,,US,POP
Chariot,18,Shiki-Ouji,psy,16,14,12,9,10,0,0,,,,,,2,0,0,JP,MYTH
Chariot,25,Kin-Ki,phys,21,13,21,15,12,0.5,-1,,,,,,,,,JP,MYTH
Chariot,30,Ara Mitama,nuke,20,18,20,20,19,0.5,,,2,,,,,,,JP,MYTH
Chariot,38,White Rider,curse,22,21,26,27,25,,,0,2,,,,,0,-1,AB,MYTH
Chariot,55,Cerberus,fire,39,35,32,39,27,,,ab,2,,,,0.5,,,GR,MYTH
Chariot,64,Thor,elec,44,39,43,38,35,0.5,,,,0,,,,0.5,0.5,NO,MYTH
Chariot,88,Chi You,psy,56,57,54,53,51,0.5,0.5,,,,,0,2,,,CH,MYTH
Chariot,4,Captain Kidd,elec,5,3,6,3,3,,,,,0.5,2,,,,,UK,HIST
Councillor,12,Kusi Mitama,healing,7,11,9,8,8,,,2,,,0.5,,,,,JP,MYTH
Councillor,22,Nigi Mitama,healing,13,15,15,16,14,,,,,2,,,,0.5,0.5,JP,MYTH
Councillor,32,Decarabia,fire,21,23,19,22,18,2,,-1,,,,,0.5,,0.5,GO,MYTH
Councillor,44,Ananta,nuke,26,30,31,27,25,,,,ab,2,,,,,,HI,MYTH
Councillor,57,Yatagarasu,fire,35,41,30,40,32,,,,,,0.5,,,0,2,JP,MYTH
Councillor,62,Seiryu,ice,38,41,43,37,34,,,,0.5,,,,2,,,CH,MYTH
Councillor,71,Dionysus,ailment,42,48,44,42,44,,,,,-1,,,,0,0,GR,MYTH
Councillor,80,Vohu Manah,almighty,46,59,45,56,41,,,,,0.5,2,,,ab,0,ZA,MYTH
Death,3,Mandrake,elec,2,3,3,4,4,,,2,,0.5,,,,,,EU,HIST
Death,9,Mokoi,ailment,9,5,6,10,4,,,,,0.5,2,,,,,AU,MYTH
Death,17,Matador,psy,11,13,10,16,8,,,,,2,0,,,,,SP,HIST
Death,20,Nue,curse,16,10,17,14,10,,,2,0.5,,,,,,0,JP,MYTH
Death,28,Pisaca,curse,19,21,21,16,14,,,2,,0.5,,,,2,0,HI,MYTH
Death,37,Hell Biker,fire,23,24,24,30,17,,,-1,,,0.5,,,2,,US,POP
Death,40,Hope Diamond,almighty,40,40,40,40,40,0.5,0.5,,2,,,,,,,P5,P5
Death,54,Pale Rider,curse,32,37,33,40,27,,,,,,0.5,,,2,-1,AB,MYTH
Death,62,Chernobog,ailment,40,37,39,38,39,,0.5,2,ab,0,,,,2,ab,SL,MYTH
Death,65,Thanatos,almighty,43,49,41,38,31,0.5,,,,,,,,2,-1,GR,MYTH
Death,69,Thanatos Picaro,almighty,45,51,43,40,35,0.5,,,,,,,,2,-1,GR,MYTH
Death,72,Mot,ailment,43,51,48,42,39,,0.5,,,ab,2,,,,-1,AB,MYTH
Death,83,Alice,curse,45,61,49,54,47,,,,,,,0.5,0.5,2,-1,UK,LIT
Devil,5,Incubus,ailment,4,6,4,5,3,,,2,,0.5,,,,2,,EU,MYTH
Devil,19,Flauros,ailment,15,11,13,14,11,,,0,2,,0.5,,0.5,,,GO,MYTH
Devil,27,Andras,ice,15,19,19,21,14,,,2,0.5,,,0.5,,2,0,GO,MYTH
Devil,32,Lilim,ice,17,23,18,25,20,,,,0.5,,2,,,2,0,AB,MYTH
Devil,45,Pazuzu,curse,29,33,27,26,27,,,,,,0.5,,,2,0,MS,MYTH
Devil,58,Baphomet,almighty,34,42,36,38,31,,,0.5,,,,,,2,0,EU,MYTH
Devil,74,Nebiros,curse,45,52,44,46,42,,,,,,,0,,2,0.5,GO,MYTH
Devil,82,Belial,curse,52,53,51,48,49,0,,,0.5,,,,,,0,GO,MYTH
Devil,87,Beelzebub,curse,55,61,54,56,42,,,ab,,,,,,2,-1,AB,MYTH
Emperor,10,Regent,almighty,10,10,10,10,10,0.5,0.5,,,,,,2,,,P5,P5
Emperor,16,Eligor,fire,12,10,13,10,10,,,0.5,,2,,,,,0.5,GO,MYTH
Emperor,25,Setanta,phys,19,16,18,13,16,,0.5,,,,,2,0.5,,,IR,MYTH
Emperor,36,Thoth,nuke,21,28,21,24,21,,,,,,,2,0,0,0.5,EG,MYTH
Emperor,52,Barong,elec,33,35,33,37,25,,0.5,,,0.5,2,,,0,2,ID,MYTH
Emperor,61,King Frost,ice,40,44,43,29,34,,,,ab,,,,,0,,UK,MYTH
Emperor,66,Oberon,elec,40,45,42,43,35,,,,,0.5,,0,2,,,UK,LIT
Emperor,82,Baal,wind,54,58,53,47,41,,,0.5,,,ab,,,0.5,,AB,MYTH
Emperor,84,Odin,elec,53,58,54,52,42,,,,,0,ab,,,-1,-1,NO,MYTH
Emperor,15,Goemon,ice,13,10,11,10,8,,,2,0.5,,,,,,,JP,HIST
Empress,15,Queen's Necklace,almighty,15,15,15,15,15,0.5,0.5,,,,,2,,,,P5,P5
Empress,20,Yaksini,ice,14,11,13,16,13,,0,,0.5,,,,2,,,HI,MYTH
Empress,26,Lamia,fire,21,15,18,19,12,,,,2,0.5,,,2,,0,GR,MYTH
Empress,40,Hariti,elec,21,32,24,23,27,,,,,,2,0.5,,0.5,,HI,MYTH
Empress,50,Dakini,phys,34,32,34,28,29,,0,0.5,,,,,,,,HI,MYTH
Empress,56,Titania,nuke,32,40,35,38,30,,,,,,,2,0.5,0.5,0.5,UK,LIT
Empress,63,Kali,fire,43,41,39,39,34,,-1,0,,,,-1,,,0.5,HI,MYTH
Empress,81,Alilat,ice,45,54,57,49,45,-1,-1,2,ab,,,0,,,2,AR,MYTH
Empress,85,Mother Harlot,ice,55,54,48,50,55,,,,,-1,,,,2,0,AB,MYTH
Empress,36,Milady,psy,27,24,22,22,21,,,,,,,0.5,2,,,FR,LIT
Faith,21,Phoenix,nuke,12,15,15,17,11,,,,0.5,2,0,,,,,GR,MYTH
Faith,27,Tam Lin,almighty,21,16,18,16,17,0.5,,0,,,0.5,,,ab,2,UK,MYTH
Faith,39,Unicorn,bless,20,27,25,28,24,,,,0,,,0.5,,0,2,GR,MYTH
Faith,54,Okuninushi,psy,39,35,33,32,30,,,,,-1,2,0,2,,,JP,MYTH
Faith,60,Orichalcum,almighty,60,60,60,60,60,0.5,0.5,,,,,,,2,,P5,P5
Faith,65,Atavaka,phys,51,36,43,38,34,0.5,0,-1,,,,,,,0.5,JP,MYTH
Faith,76,Cu Chulainn,almighty,55,44,46,48,42,0.5,0.5,,,2,-1,,,0,,IR,MYTH
Faith,84,Siegfried,phys,61,43,55,55,45,0,0.5,,0.5,0,,,2,,,NO,MYTH
Faith,93,Maria,healing,52,66,53,54,61,,,2,,0.5,0,,,ab,,AB,MYTH
Faith,75,Cendrillon,bless,55,46,36,51,44,,,,,,,,,0,2,FR,LIT
Fool,1,Arsene,curse,2,2,2,3,1,,,,2,,,,,2,0.5,FR,LIT
Fool,8,Obariyon,phys,7,3,9,8,4,0.5,,,,2,,,,,,JP,MYTH
Fool,16,High Pixie,healing,8,14,10,13,10,,2,,,0.5,0.5,,2,,,UK,MYTH
Fool,20,Izanagi,almighty,14,13,13,14,13,,,,,0.5,2,,,,0,JP,MYTH
Fool,23,Izanagi Picaro,almighty,16,15,15,16,14,,,,,0,2,,,,0,JP,MYTH
Fool,26,Orpheus,almighty,17,17,17,17,17,,,,,2,,,,0.5,2,GR,MYTH
Fool,29,Orpheus Picaro,almighty,19,19,19,19,18,,,,,2,,,,0.5,2,GR,MYTH
Fool,38,Legion,psy,24,24,30,23,20,0.5,,0.5,,,,0.5,,2,0,AB,MYTH
Fool,42,Ose,ailment,32,24,25,31,21,,0,0.5,,,,,,2,0,GO,MYTH
Fool,49,Bugs,almighty,35,33,30,32,24,,,,,,,0.5,2,,0,UK,MYTH
Fool,50,Crystal Skull,almighty,50,50,50,50,50,0.5,0.5,,,,2,,,,,P5,P5
Fool,67,Black Frost,almighty,44,46,41,42,35,,,-1,ab,,,,0,,-1,UK,MYTH
Fool,83,Vishnu,almighty,56,51,49,57,43,,,2,ab,,,,,0,0,HI,MYTH
Fool,95,Satanael,almighty,63,60,57,56,56,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0,ab,AB,MYTH
Fortune,20,Stone of Scone,almighty,20,20,20,20,20,0.5,0.5,2,,,,,,,,P5,P5
Fortune,27,Clotho,healing,14,19,18,20,17,,,,2,,0,,2,,,GR,MYTH
Fortune,30,Ariadne,almighty,23,19,20,17,18,,0.5,,,,,2,0,0.5,,GR,MYTH
Fortune,35,Lachesis,ice,18,26,22,25,21,,,,0,2,0.5,,,,,GR,MYTH
Fortune,39,Atropos,elec,23,30,22,27,22,,,2,,,0,,,,,GR,MYTH
Fortune,42,Ariadne Picaro,almighty,36,23,29,24,21,,0.5,,,,,2,0,0.5,,GR,MYTH
Fortune,46,Fortuna,wind,23,32,29,34,27,,,0,,2,0,,,,,GR,MYTH
Fortune,52,Norn,almighty,30,38,33,34,28,,,,,-1,ab,,,0.5,,NO,MYTH
Fortune,56,Asterius,almighty,43,43,32,32,25,,,0.5,2,,,0.5,,,0,GR,MYTH
Fortune,62,Asterius Picaro,almighty,46,46,36,36,29,,,0.5,2,,,0.5,,,0,GR,MYTH
Fortune,69,Lakshmi,healing,39,49,41,47,38,,,2,0.5,,,,,0.5,,HI,MYTH
Hanged,9,Hua Po,fire,4,10,4,8,8,,2,-1,2,,,,,,,CH,MYTH
Hanged,14,Inugami,fire,11,9,9,12,8,,0,0,,,2,,,,0,JP,MYTH
Hanged,21,Orthrus,fire,16,14,14,19,7,,,ab,2,,,,0.5,,,GR,MYTH
Hanged,26,Take-Minakata,elec,17,19,18,16,15,,,,,0.5,,2,,,0.5,JP,MYTH
Hanged,35,Emperor's Amulet,almighty,35,35,35,35,35,0.5,0.5,,,2,,,,,,P5,P5
Hanged,42,Hecatoncheires,phys,35,22,27,23,26,,0.5,,,,,,,2,0,GR,MYTH
Hanged,51,Jatayu,wind,31,34,29,36,30,,,,0.5,,-1,,2,0.5,,HI,MYTH
Hanged,60,Moloch,fire,32,45,42,31,37,,,ab,2,0.5,0.5,ab,,,0,AB,MYTH
Hanged,73,Macabre,curse,48,49,42,48,39,,,,,0.5,,,,2,0,EU,MYTH
Hanged,82,Attis,fire,49,50,48,54,52,,,0,,,-1,,,,2,GR,MYTH
Hermit,4,Bicorn,wind,5,3,3,5,3,,,,,2,,,,,0.5,GR,MYTH
Hermit,9,Koropokkuru,ice,5,8,6,9,6,,,2,0.5,,0.5,,,,,JP,MYTH
Hermit,13,Ippon-Datara,phys,11,7,14,6,8,,0.5,0.5,2,,-1,,,0.5,0.5,JP,MYTH
Hermit,17,Sudama,psy,9,14,12,13,10,,,,2,,-1,,2,,,JP,MYTH
Hermit,24,Naga,elec,15,17,15,17,15,,0.5,,,0,2,,,,,HI,MYTH
Hermit,31,Kurama Tengu,wind,20,19,21,24,16,,,,0,,-1,,,0.5,0.5,JP,MYTH
Hermit,35,Arahabaki,ailment,21,23,22,24,22,-1,-1,,,,,2,2,0.5,0.5,JP,MYTH
Hermit,42,Kumbhanda,ailment,25,30,25,27,26,,,0,,,,2,,,0.5,BH,MYTH
Hermit,49,Koumokuten,phys,37,29,34,29,25,0.5,,,2,,,,,0.5,,BH,MYTH
Hermit,70,Loa,curse,42,47,43,46,39,,,0.5,,0,,2,0.5,2,,HA,MYTH
Hermit,86,Fafnir,nuke,61,55,58,48,43,-1,-1,ab,,0.5,,,ab,,,NO,MYTH
Hermit,89,Ongyo-Ki,phys,56,53,57,59,49,0.5,,,,,,,,-1,-1,JP,MYTH
Hermit,31,Necronomicon,almighty,17,23,20,21,35,,,,,,,,,,,US,LIT
Hierophant,9,Berith,phys,9,6,8,8,3,,0,0.5,2,,,,,,,GO,MYTH
Hierophant,17,Orobas,fire,11,14,15,12,6,,,,2,,0.5,,,,0.5,GO,MYTH
Hierophant,25,Anzu,wind,14,18,15,21,14,,2,,,0.5,-1,,2,,,MS,MYTH
Hierophant,40,Daisoujou,bless,21,33,24,24,25,0.5,,,,,,,,0,2,BH,HIST
Hierophant,52,Mishaguji,ailment,32,32,32,32,35,0.5,,,2,0,,,,,ab,JP,MYTH
Hierophant,67,Bishamonten,nuke,51,37,42,44,34,,,ab,2,,,,,0.5,0.5,BH,MYTH
Hierophant,76,Kohryu,psy,43,51,50,53,38,,,,,-1,,0,2,0,,CH,MYTH
Judgement,34,Anubis,almighty,19,24,22,21,23,,0.5,,,,,0.5,,0,0,EG,MYTH
Judgement,59,Trumpeter,almighty,33,42,40,38,31,,,,ab,-1,,,,-1,0,AB,MYTH
Judgement,64,Yamata-no-Orochi,ice,44,38,48,36,33,0.5,,,ab,,0.5,,,,0.5,JP,MYTH
Judgement,75,Abaddon,curse,51,42,58,38,43,ab,ab,,,,,,,0.5,ab,AB,MYTH
Judgement,81,Messiah,almighty,50,50,50,50,50,,,0.5,0.5,0.5,0.5,0.5,0.5,-1,2,AB,MYTH
Judgement,82,Shiva,psy,55,54,53,53,38,,,,0,-1,,ab,2,0,0,HI,MYTH
Judgement,87,Michael,almighty,57,54,55,56,46,,0.5,,,,,,,-1,0,AB,MYTH
Judgement,90,Messiah Picaro,almighty,56,56,55,55,55,,,0.5,0.5,0.5,0.5,0.5,0.5,-1,2,AB,MYTH
Judgement,92,Satan,ice,62,59,55,52,55,,0.5,,-1,,,,,,-1,AB,MYTH
Justice,9,Angel,bless,6,9,5,9,5,,2,,,0.5,,,,0,2,AB,MYTH
Justice,14,Archangel,bless,11,9,10,12,7,,,,,2,,,,0,2,AB,MYTH
Justice,29,Principality,bless,17,19,18,21,19,,,0.5,,,,,,0,2,AB,MYTH
Justice,41,Power,bless,30,26,28,25,21,,,,,,0.5,,,0,2,AB,MYTH
Justice,58,Melchizedek,bless,37,32,40,39,33,,,,,,2,0.5,,ab,0,AB,MYTH
Justice,68,Dominion,bless,42,45,43,44,37,,,,,2,,,-1,0,0.5,AB,MYTH
Justice,72,Throne,bless,42,49,43,46,43,,,0,,,0,,2,-1,,AB,MYTH
Justice,81,Uriel,almighty,50,54,49,55,42,,,0,,,,,ab,-1,,AB,MYTH
Justice,89,Metatron,bless,54,61,60,57,42,,,,,2,-1,ab,ab,,2,AB,MYTH
Justice,45,Robin Hood,almighty,32,29,28,29,24,,,,,,,,,0.5,2,UK,MYTH
Justice,75,Loki,curse,53,47,46,47,39,,,,,,,,,2,0,NO,MYTH
Lovers,2,Pixie,elec,1,3,3,4,2,,2,,2,0.5,,,,0.5,2,UK,MYTH
Lovers,6,Saki Mitama,healing,4,6,5,6,4,,,,0.5,,2,,,,,JP,MYTH
Lovers,13,Ame-no-Uzume,almighty,7,10,9,11,9,,,ab,,,,2,,,,JP,MYTH
Lovers,19,Leanan Sidhe,almighty,9,17,12,16,10,,,2,,,0.5,0.5,,,,IR,MYTH
Lovers,42,Kushinada,healing,24,30,26,28,25,,,,2,,,,2,-1,,JP,MYTH
Lovers,48,Narcissus,ailment,27,31,29,33,31,,,2,,0,0.5,,,0.5,,GR,MYTH
Lovers,56,Parvati,psy,33,39,33,39,31,,,,-1,,,0.5,,0.5,2,HI,MYTH
Lovers,78,Raphael,almighty,57,45,49,55,35,,,,ab,,,0,,0,,AB,MYTH
Lovers,85,Ishtar,healing,48,59,49,58,48,,,,,0,2,,,,,MS,MYTH
Lovers,5,Carmen,fire,3,6,4,4,5,,,0.5,2,,,,,,,FR,LIT
Magician,2,Jack-o'-Lantern,fire,2,3,3,3,2,,,ab,2,,2,,,,,UK,MYTH
Magician,5,Cait Sith,ailment,6,4,4,5,3,,,,,0.5,2,,,,,IR,MYTH
Magician,11,Jack Frost,ice,8,9,7,9,7,,,2,0,,,,,,,UK,MYTH
Magician,17,Nekomata,ailment,13,10,12,15,8,,,,,2,,0.5,,,,JP,MYTH
Magician,23,Sandman,wind,11,13,14,17,21,,,2,,2,0.5,,,,,EU,MYTH
Magician,28,Choronzon,curse,16,19,19,18,19,0.5,,ab,,,,,,2,,UK,MYTH
Magician,43,Queen Mab,almighty,23,35,26,30,22,,,0,,0.5,2,,,,,UK,MYTH
Magician,48,Rangda,curse,28,34,30,33,26,-1,-1,0,,2,,,,2,0,ID,MYTH
Magician,63,Forneus,psy,41,39,40,42,34,,,,ab,2,,0,,,,GO,MYTH
Magician,83,Surt,fire,55,54,51,50,46,,0.5,ab,2,0,,,0.5,,,NO,MYTH
Magician,86,Futsunushi,phys,60,58,55,52,40,0.5,,,,,,,2,,,JP,MYTH
Magician,1,Zorro,wind,2,3,1,3,1,,,,,2,0.5,,,,,US,LIT
Moon,7,Succubus,curse,4,7,5,8,4,,,0.5,,,2,,,2,0,EU,MYTH
Moon,12,Onmoraki,curse,9,12,7,10,5,,,0.5,2,,,,,2,0,JP,MYTH
Moon,16,Kaguya,almighty,11,15,12,11,6,,,2,,,0.5,,,0,0,JP,MYTH
Moon,18,Black Ooze,curse,15,7,16,8,15,0.5,0.5,,0.5,2,,2,,2,0,US,POP
Moon,24,Sui-Ki,ice,16,15,15,18,15,,0.5,,ab,0.5,,,2,,,JP,MYTH
Moon,25,Kaguya Picaro,almighty,17,20,19,15,11,,,2,,,,,,0,0,JP,MYTH
Moon,33,Mothman,elec,21,24,16,24,21,,2,,,0,,0.5,,,,US,MYTH
Moon,43,Girimehkala,ailment,32,24,32,29,19,-1,-1,0.5,,,,,,2,0,HI,MYTH
Moon,50,Tsukiyomi,almighty,38,32,33,37,17,0.5,,,,,,,2,0.5,-1,JP,MYTH
Moon,55,Tsukiyomi Picaro,almighty,41,35,36,40,20,0.5,,,,,,,2,0.5,-1,JP,MYTH
Moon,60,Lilith,almighty,33,43,37,39,35,,,2,-1,,,,-1,,0,AB,MYTH
Moon,70,Byakhee,fire,42,49,43,51,32,,,0,2,,0,,2,,0,US,LIT
Moon,75,Sandalphon,bless,46,51,49,48,38,0.5,0.5,,,,,,,-1,0,AB,MYTH
Priestess,6,Silky,healing,4,7,4,5,5,,,2,0.5,2,,,,,,UK,MYTH
Priestess,11,Apsaras,ice,7,11,6,10,6,,,2,0.5,2,,,,,,HI,MYTH
Priestess,25,Koh-i-Noor,almighty,25,25,25,25,25,0.5,2,,,,,,,,,P5,P5
Priestess,26,Isis,healing,14,20,17,18,16,,,,,,,2,,0,,EG,MYTH
Priestess,40,Kikuri-Hime,healing,22,31,24,28,22,,,2,,,0,,,0.5,,JP,MYTH
Priestess,50,Sarasvati,healing,30,35,32,33,27,,,,0,0.5,,,2,,,HI,MYTH
Priestess,53,Skadi,ice,33,39,32,34,28,,,,-1,,,,,,0,NO,MYTH
Priestess,77,Scathach,wind,48,52,46,48,44,,,,0,-1,,,,,0,IR,MYTH
Priestess,83,Cybele,healing,44,57,49,51,55,,,0.5,,2,,,,0,,GR,MYTH
Priestess,21,Johanna,nuke,15,15,14,15,11,,,,,,,2,0.5,,,AB,MYTH
Star,11,Kodama,ailment,7,11,8,10,4,,,2,0.5,,,,,,,JP,MYTH
Star,23,Fuu-Ki,wind,14,17,16,15,14,,0.5,,,2,ab,,,,,JP,MYTH
Star,30,Neko Shogun,almighty,19,20,19,21,18,0.5,,,,0.5,2,,,0,0.5,CH,MYTH
Star,36,Kaiwan,almighty,23,26,24,22,20,,0,,,,,0,2,,,MS,MYTH
Star,52,Garuda,wind,30,36,29,39,29,,,,,,0.5,,,-1,,HI,MYTH
Star,68,Vasuki,ailment,42,45,44,42,38,,,,0,0,,,,,2,HI,MYTH
Star,80,Sraosha,bless,47,56,45,56,43,,,,,ab,,,,-1,2,ZA,MYTH
Star,84,Hastur,wind,51,59,52,56,41,,,0.5,,,ab,0,,,0,US,LIT
Star,93,Lucifer,almighty,61,59,59,56,51,0,0,0.5,0.5,0.5,0.5,,,2,ab,AB,MYTH
Strength,6,Kelpie,wind,5,5,5,6,4,,,,0.5,2,,,,,,IR,MYTH
Strength,15,Shiisaa,elec,10,11,11,11,9,0.5,,,,,,2,,0,2,JP,MYTH
Strength,20,Oni,phys,19,9,17,12,10,0.5,0.5,,,,,,,,,JP,MYTH
Strength,24,Rakshasa,phys,20,15,18,17,9,0.5,0,0.5,,,2,,,2,0.5,HI,MYTH
Strength,30,Orlov,almighty,30,30,30,30,30,0.5,0.5,,,,,,,,2,P5,P5
Strength,31,Zouchouten,elec,22,19,24,18,17,0.5,,,,,2,,,,,BH,MYTH
Strength,44,Valkyrie,phys,33,24,28,29,25,,0.5,2,-1,,,,,0,,NO,MYTH
Strength,64,Hanuman,phys,43,38,40,40,38,,0.5,,2,,,0.5,,0.5,,HI,MYTH
Strength,74,Chimera,phys,51,40,42,48,48,,,ab,0,,2,,,,2,GR,MYTH
Strength,80,Zaou-Gongen,fire,57,45,50,56,39,,,-1,,2,,,,0,0,JP,MYTH
Sun,16,Suzaku,nuke,9,12,10,15,9,,,ab,2,,,,0.5,,,CH,MYTH
Sun,34,Thunderbird,elec,17,24,24,26,18,,,,,ab,,2,,,2,NM,MYTH
Sun,39,Mithras,nuke,27,25,27,25,20,0.5,0.5,ab,,,,2,0,,,GR,MYTH
Sun,43,Yurlungur,elec,26,29,30,27,24,,,,,0,,2,,0.5,,AU,MYTH
Sun,47,Horus,almighty,30,32,29,35,22,,,2,,0,,,,-1,,EG,MYTH
Sun,53,Ganesha,ailment,39,31,37,33,26,0.5,0.5,,,,ab,2,,,,HI,MYTH
Sun,66,Quetzalcoatl,wind,41,46,41,43,34,,,0,,,0.5,2,,,,NM,MYTH
Sun,76,Asura,nuke,52,48,51,49,35,,,0,,,,2,-1,,,HI,MYTH
Temperance,7,Genbu,ice,5,6,7,6,4,,,,0,2,,0.5,,,,CH,MYTH
Temperance,11,Koppa Tengu,wind,7,8,8,11,6,,,,2,,0.5,,,2,,JP,MYTH
Temperance,15,Makami,nuke,13,12,8,11,8,,0,,,2,0.5,,0.5,0,,JP,MYTH
Temperance,22,Jikokuten,phys,18,11,16,15,13,0.5,,,,,,,,0.5,2,BH,MYTH
Temperance,33,Mithra,bless,19,26,19,24,18,,,,0,2,,,,0,,ZA,MYTH
Temperance,45,Byakko,ice,35,28,30,32,17,,,2,ab,,,,2,,0.5,CH,MYTH
Temperance,55,Raja Naga,elec,33,37,36,35,31,,,,,0,,,,,,HI,MYTH
Temperance,77,Gabriel,almighty,43,51,48,54,42,,,,,,,0,,ab,,AB,MYTH
Temperance,84,Ardha,almighty,54,56,55,54,40,0.5,,,0,0,,,,,,HI,MYTH
Tower,37,Belphegor,ice,25,27,24,23,19,,,2,0.5,0.5,,,0.5,,-1,AB,MYTH
Tower,41,Red Rider,psy,26,27,25,29,23,,,,,,,,,2,0,AB,MYTH
Tower,44,Magatsu-Izanagi,almighty,37,35,32,25,10,,0.5,,,,,,2,0,0,JP,MYTH
Tower,48,Magatsu-Izanagi Picaro,almighty,40,38,35,27,11,,0.5,,,,,,2,0,0,JP,MYTH
Tower,51,Seth,fire,32,35,30,35,28,,,-1,,,0,,,2,0.5,EG,MYTH
Tower,59,Black Rider,curse,36,42,34,42,30,,,2,ab,,,,,0.5,0.5,AB,MYTH
Tower,73,Mara,psy,51,43,43,45,44,,0,ab,,,,-1,,0.5,0,BH,MYTH
Tower,87,Yoshitsune,phys,63,52,50,54,49,0,,0.5,,-1,,,,-1,,JP,HIST
Tower,90,Mada,fire,55,54,61,59,48,,,ab,2,,,0.5,0,,,HI,MYTH
